Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
11,Technology High,https://www.schooldigger.com/go/CA/schools/0994010688/school.aspx,Cotati-Rohnert Park Unified,https://www.schooldigger.com/go/CA/district/09940/search.aspx,550 Bonnie Ave.,Rohnert Park,https://www.schooldigger.com/go/CA/city/Rohnert+Park/search.aspx,94928,Sonoma County,(707) 792-4825,9,12,No,No,No,No,326,14.6,22.10,0.16,0.00,0.00,0.06,0.21,0.00,0.33,0.40,99.2
12,Alameda Science and Technology Institute,https://www.schooldigger.com/go/CA/schools/0177010547/school.aspx,Alameda Unified,https://www.schooldigger.com/go/CA/district/01770/search.aspx,555 Ralph Appezzato Memorial P,Alameda,https://www.schooldigger.com/go/CA/city/Alameda/search.aspx,94501,Alameda County,(510) 748-4021,9,12,No,No,Yes,No,192,6.1,31.40,0.29,0.05,0.00,0.56,0.09,0.01,0.06,0.23,99.1
13,Western Center Academy,https://www.schooldigger.com/go/CA/schools/1692012464/school.aspx,Hemet Unified,https://www.schooldigger.com/go/CA/district/16920/search.aspx,2345 Searl Pkwy.,Hemet,https://www.schooldigger.com/go/CA/city/Hemet/search.aspx,92543,Riverside County,(951) 766-9030,6,12,No,Yes,No,No,678,25.9,26.10,0.29,0.03,0.01,0.07,0.41,0.00,0.05,0.42,99.1
14,Dr. TJ Owens Gilroy Early College Academy,https://www.schooldigger.com/go/CA/schools/1518012174/school.aspx,Gilroy Unified,https://www.schooldigger.com/go/CA/district/15180/search.aspx,5055 Santa Teresa Blvd. PB17,Gilroy,https://www.schooldigger.com/go/CA/city/Gilroy/search.aspx,95020,Santa Clara County,(408) 846-4909,9,12,No,No,No,No,305,10.4,29.20,0.36,0.01,0.00,0.23,0.49,0.00,0.06,0.22,99.1
15,Dougherty Valley High,https://www.schooldigger.com/go/CA/schools/3513011990/school.aspx,San Ramon Valley Unified,https://www.schooldigger.com/go/CA/district/35130/search.aspx,10550 Albion Rd.,San Ramon,https://www.schooldigger.com/go/CA/city/San+Ramon/search.aspx,94582,Contra Costa County,(925) 479-6400,9,12,No,No,No,No,3331,132.4,25.10,0.07,0.03,0.00,0.75,0.06,0.00,0.05,0.12,99.1
16,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,https://www.schooldigger.com/go/CA/schools/2271010844/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,1111 Figueroa Pl.,Wilmington,https://www.schooldigger.com/go/CA/city/Wilmington/search.aspx,90744,Los Angeles County,(310) 834-3932,9,12,Yes,No,No,No,467,16.5,28.30,0.62,0.11,0.00,0.30,0.53,0.02,0.00,0.05,99
17,River Valley Charter,https://www.schooldigger.com/go/CA/schools/0146207308/school.aspx,River Valley Charter District,https://www.schooldigger.com/go/CA/district/01462/search.aspx,9707 1/2 Marilla Dr.,Lakeside,https://www.schooldigger.com/go/CA/city/Lakeside/search.aspx,92040,San Diego County,(619) 390-2579,7,12,(n/a),Yes,No,No,325,13.9,23.30,0.15,0.01,0.02,0.06,0.17,0.01,0.02,0.72,99
18,Pacific Collegiate Charter,https://www.schooldigger.com/go/CA/schools/9103608363/school.aspx,Santa Cruz County Office of Education,https://www.schooldigger.com/go/CA/district/91036/search.aspx,3004 Mission St.,Santa Cruz,https://www.schooldigger.com/go/CA/city/Santa+Cruz/search.aspx,95060,Santa Cruz County,(831) 479-7785,7,12,No,Yes,No,No,549,32.2,17.00,0.12,0.00,0.00,0.05,0.15,0.00,0.12,0.68,99
19,Mission San Jose High,https://www.schooldigger.com/go/CA/schools/1440001678/school.aspx,Fremont Unified,https://www.schooldigger.com/go/CA/district/14400/search.aspx,41717 Palm Ave.,Fremont,https://www.schooldigger.com/go/CA/city/Fremont/search.aspx,94539,Alameda County,(510) 657-3600,9,12,No,No,Yes,No,2046,85.6,23.80,0.07,0.00,0.00,0.92,0.02,0.00,0.01,0.05,99
20,Miramonte High,https://www.schooldigger.com/go/CA/schools/0165000036/school.aspx,Acalanes Union High,https://www.schooldigger.com/go/CA/district/01650/search.aspx,750 Moraga Way,Orinda,https://www.schooldigger.com/go/CA/city/Orinda/search.aspx,94563,Contra Costa County,(925) 280-3930,9,12,No,No,No,No,1286,62.4,20.60,0.04,0.03,0.01,0.17,0.08,0.00,0.10,0.62,98.9
21,Monta Vista High,https://www.schooldigger.com/go/CA/schools/1443001699/school.aspx,Fremont Union High,https://www.schooldigger.com/go/CA/district/14430/search.aspx,21840 McClellan Rd.,Cupertino,https://www.schooldigger.com/go/CA/city/Cupertino/search.aspx,95014,Santa Clara County,(408) 366-7600,9,12,(n/a),No,No,No,2274,92.2,24.60,0.05,0.00,0.00,0.80,0.04,0.00,0.04,0.12,98.9
22,Granite Bay High,https://www.schooldigger.com/go/CA/schools/3363006168/school.aspx,Roseville Joint Union High,https://www.schooldigger.com/go/CA/district/33630/search.aspx,1 Grizzly Way,Granite Bay,https://www.schooldigger.com/go/CA/city/Granite+Bay/search.aspx,95746,Placer County,(916) 786-8676,9,12,No,No,Yes,No,2073,85.1,24.30,0.11,0.02,0.01,0.15,0.10,0.00,0.06,0.66,98.9
23,University Preparatory,https://www.schooldigger.com/go/CA/schools/0175911467/school.aspx,University Preparatory District,https://www.schooldigger.com/go/CA/district/01759/search.aspx,2200 Eureka Way,Redding,https://www.schooldigger.com/go/CA/city/Redding/search.aspx,96001,Shasta County,(530) 245-2790,6,12,(n/a),Yes,No,No,984,45.6,21.50,0.20,0.01,0.01,0.07,0.10,0.00,0.10,0.71,98.9
24,Eunice Sato Academy of Math & Science,https://www.schooldigger.com/go/CA/schools/2250013896/school.aspx,Long Beach Unified,https://www.schooldigger.com/go/CA/district/22500/search.aspx,1100 Iroquois Ave.,Long Beach,https://www.schooldigger.com/go/CA/city/Long+Beach/search.aspx,90815,Los Angeles County,(562) 598-7611,9,12,No,No,No,No,402,17.2,23.30,0.39,0.07,0.01,0.25,0.32,0.01,0.10,0.23,98.9
25,California Academy of Mathematics and Science,https://www.schooldigger.com/go/CA/schools/2250009901/school.aspx,Long Beach Unified,https://www.schooldigger.com/go/CA/district/22500/search.aspx,1000 E. Victoria St. Bldg. SAC,Carson,https://www.schooldigger.com/go/CA/city/Carson/search.aspx,90747,Los Angeles County,(310) 243-2025,9,12,No,No,Yes,No,667,23.5,28.30,0.45,0.07,0.00,0.37,0.42,0.00,0.06,0.06,98.9
26,Saratoga High,https://www.schooldigger.com/go/CA/schools/2280003487/school.aspx,Los Gatos-Saratoga Union High,https://www.schooldigger.com/go/CA/district/22800/search.aspx,20300 Herriman Ave.,Saratoga,https://www.schooldigger.com/go/CA/city/Saratoga/search.aspx,95070,Santa Clara County,(408) 867-3411,9,12,(n/a),No,No,No,1371,69.5,19.70,0.02,0.00,0.00,0.62,0.04,0.00,0.09,0.25,98.8
27,Canyon Crest Academy,https://www.schooldigger.com/go/CA/schools/3438011396/school.aspx,San Dieguito Union High,https://www.schooldigger.com/go/CA/district/34380/search.aspx,5951 Village Center Loop Rd.,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92130,San Diego County,(858) 350-0253,9,12,No,No,No,No,2572,93.5,27.50,0.06,0.01,0.00,0.34,0.08,0.00,0.04,0.54,98.8
28,La Canada High,https://www.schooldigger.com/go/CA/schools/2013002408/school.aspx,La Canada Unified,https://www.schooldigger.com/go/CA/district/20130/search.aspx,4463 Oak Grove Dr.,La Canada,https://www.schooldigger.com/go/CA/city/La+Canada/search.aspx,91011,Los Angeles County,(818) 952-4205,7,12,(n/a),No,No,No,2068,84.1,24.50,0.05,0.01,0.00,0.30,0.11,0.00,0.08,0.51,98.6
29,Acalanes High,https://www.schooldigger.com/go/CA/schools/0165000032/school.aspx,Acalanes Union High,https://www.schooldigger.com/go/CA/district/01650/search.aspx,1200 Pleasant Hill Rd.,Lafayette,https://www.schooldigger.com/go/CA/city/Lafayette/search.aspx,94549,Contra Costa County,(925) 280-3970,9,12,No,No,No,No,1335,67.2,19.80,0.06,0.01,0.00,0.12,0.08,0.00,0.08,0.71,98.6
30,University Preparatory Academy Charter,https://www.schooldigger.com/go/CA/schools/0223312016/school.aspx,University Preparatory Academy Charter District,https://www.schooldigger.com/go/CA/district/02233/search.aspx,2315 Canoas Garden Ave.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95125,Santa Clara County,(408) 723-1839,7,12,(n/a),Yes,No,No,684,33,20.70,0.16,0.10,0.00,0.46,0.27,0.00,0.03,0.14,98.5
31,Academy of the Redwoods,https://www.schooldigger.com/go/CA/schools/1419010801/school.aspx,Fortuna Union High,https://www.schooldigger.com/go/CA/district/14190/search.aspx,7351 Tompkins Hill Rd.,Eureka,https://www.schooldigger.com/go/CA/city/Eureka/search.aspx,95501,Humboldt County,(707) 476-4203,9,12,Yes,No,No,No,190,6,31.60,0.35,0.02,0.02,0.07,0.14,0.00,0.11,0.65,98.4
32,Ocsa,https://www.schooldigger.com/go/CA/schools/0228408546/school.aspx,OCSA District,https://www.schooldigger.com/go/CA/district/02284/search.aspx,1010 N. Main St.,Santa Ana,https://www.schooldigger.com/go/CA/city/Santa+Ana/search.aspx,92701,Orange County,(714) 560-9000,7,12,Yes,Yes,No,No,2177,74.6,29.10,0.12,0.01,0.00,0.23,0.21,0.00,0.15,0.41,98.3
33,Henry M. Gunn High,https://www.schooldigger.com/go/CA/schools/2961004587/school.aspx,Palo Alto Unified,https://www.schooldigger.com/go/CA/district/29610/search.aspx,780 Arastradero Rd.,Palo Alto,https://www.schooldigger.com/go/CA/city/Palo+Alto/search.aspx,94306,Santa Clara County,(650) 354-8200,9,12,No,No,No,No,2006,105.1,19.00,0.07,0.01,0.00,0.44,0.09,0.01,0.08,0.37,98.2
34,Redwood Academy of Ukiah,https://www.schooldigger.com/go/CA/schools/0161008520/school.aspx,Redwood Academy of Ukiah District,https://www.schooldigger.com/go/CA/district/01610/search.aspx,1059 N. State St.,Ukiah,https://www.schooldigger.com/go/CA/city/Ukiah/search.aspx,95482,Mendocino County,(707) 467-0500,7,12,Yes,Yes,No,No,151,5.7,26.30,0.58,0.00,0.01,0.08,0.29,0.01,0.05,0.57,98
35,Troy High,https://www.schooldigger.com/go/CA/schools/1476001816/school.aspx,Fullerton Joint Union High,https://www.schooldigger.com/go/CA/district/14760/search.aspx,2200 E. Dorothy Ln.,Fullerton,https://www.schooldigger.com/go/CA/city/Fullerton/search.aspx,92831,Orange County,(714) 626-4401,9,12,No,No,Yes,No,2614,104.6,24.90,0.29,0.01,0.00,0.53,0.27,0.00,0.04,0.15,98
36,Piedmont High,https://www.schooldigger.com/go/CA/schools/3033004731/school.aspx,Piedmont City Unified,https://www.schooldigger.com/go/CA/district/30330/search.aspx,800 Magnolia Ave.,Piedmont,https://www.schooldigger.com/go/CA/city/Piedmont/search.aspx,94611,Alameda County,(510) 594-2626,9,12,No,No,No,No,855,46.1,18.50,0.01,0.01,0.00,0.13,0.06,0.00,0.17,0.62,98
37,Hawthorne Math and Science Academy,https://www.schooldigger.com/go/CA/schools/1668011295/school.aspx,Hawthorne,https://www.schooldigger.com/go/CA/district/16680/search.aspx,4467 W. BRd.way,Hawthorne,https://www.schooldigger.com/go/CA/city/Hawthorne/search.aspx,90250,Los Angeles County,(310) 973-8184,9,12,Yes,Yes,No,No,542,24.4,22.20,0.83,0.15,0.00,0.14,0.64,0.01,0.02,0.04,97.9
38,Western Sierra Collegiate Academy,https://www.schooldigger.com/go/CA/schools/0247312390/school.aspx,Western Sierra Collegiate Academy District,https://www.schooldigger.com/go/CA/district/02473/search.aspx,660 Menlo Dr.,Rocklin,https://www.schooldigger.com/go/CA/city/Rocklin/search.aspx,95765,Placer County,(916) 778-4544,7,12,(n/a),Yes,No,No,788,35.9,21.90,0.11,0.01,0.01,0.23,0.13,0.00,0.09,0.54,97.9
39,Palo Alto High,https://www.schooldigger.com/go/CA/schools/2961004596/school.aspx,Palo Alto Unified,https://www.schooldigger.com/go/CA/district/29610/search.aspx,50 Embarcadero Rd.,Palo Alto,https://www.schooldigger.com/go/CA/city/Palo+Alto/search.aspx,94301,Santa Clara County,(650) 329-3701,9,12,No,No,No,No,2124,117,18.10,0.08,0.02,0.00,0.34,0.12,0.01,0.06,0.45,97.8
40,Foothill High,https://www.schooldigger.com/go/CA/schools/0002009279/school.aspx,Pleasanton Unified,https://www.schooldigger.com/go/CA/district/00020/search.aspx,4375 Foothill Rd.,Pleasanton,https://www.schooldigger.com/go/CA/city/Pleasanton/search.aspx,94588,Alameda County,(925) 461-6600,9,12,No,No,No,No,2178,92,23.60,0.10,0.02,0.00,0.42,0.10,0.01,0.05,0.40,97.7
41,Monte Vista High,https://www.schooldigger.com/go/CA/schools/3513005952/school.aspx,San Ramon Valley Unified,https://www.schooldigger.com/go/CA/district/35130/search.aspx,3131 Stone Valley Rd.,Danville,https://www.schooldigger.com/go/CA/city/Danville/search.aspx,94526,Contra Costa County,(925) 552-2800,9,12,No,No,No,No,2448,101.6,24.00,0.04,0.01,0.00,0.23,0.09,0.00,0.09,0.59,97.7
42,Oak Park High,https://www.schooldigger.com/go/CA/schools/2785007253/school.aspx,Oak Park Unified,https://www.schooldigger.com/go/CA/district/27850/search.aspx,899 Kanan Rd.,Oak Park,https://www.schooldigger.com/go/CA/city/Oak+Park/search.aspx,91377,Ventura County,(818) 735-3300,9,12,Yes,No,No,No,1551,65.8,23.50,0.08,0.01,0.00,0.20,0.11,0.00,0.05,0.63,97.7
43,International Polytechnic High,https://www.schooldigger.com/go/CA/schools/9107804580/school.aspx,Los Angeles County Office of Education,https://www.schooldigger.com/go/CA/district/91078/search.aspx,3801 W. Temple Ave. Bldg. 128-,Pomona,https://www.schooldigger.com/go/CA/city/Pomona/search.aspx,91768,Los Angeles County,(909) 839-2320,9,12,No,No,No,No,516,21.5,24.00,0.32,0.02,0.00,0.24,0.59,0.00,0.06,0.09,97.6
44,American High,https://www.schooldigger.com/go/CA/schools/1440001654/school.aspx,Fremont Unified,https://www.schooldigger.com/go/CA/district/14400/search.aspx,36300 Fremont Blvd.,Fremont,https://www.schooldigger.com/go/CA/city/Fremont/search.aspx,94536,Alameda County,(510) 796-1776,9,12,No,No,No,No,2448,104.6,23.30,0.20,0.03,0.00,0.71,0.08,0.01,0.04,0.13,97.6
45,South Pasadena Senior High,https://www.schooldigger.com/go/CA/schools/3750006338/school.aspx,South Pasadena Unified,https://www.schooldigger.com/go/CA/district/37500/search.aspx,1401 Fremont Ave.,South Pasadena,https://www.schooldigger.com/go/CA/city/South+Pasadena/search.aspx,91030,Los Angeles County,(626) 441-5820,9,12,Yes,No,No,No,1446,64.3,22.40,0.20,0.02,0.00,0.38,0.26,0.00,0.07,0.27,97.6
46,University Preparatory High,https://www.schooldigger.com/go/CA/schools/9104512387/school.aspx,Tulare County Office of Education,https://www.schooldigger.com/go/CA/district/91045/search.aspx,915 S. Mooney Blvd. Mariposa B,Visalia,https://www.schooldigger.com/go/CA/city/Visalia/search.aspx,93277,Tulare County,(559) 730-2529,9,12,No,Yes,No,No,229,12.1,18.90,0.38,0.00,0.02,0.11,0.42,0.01,0.07,0.37,97.6
47,West Campus,https://www.schooldigger.com/go/CA/schools/3384010600/school.aspx,Sacramento City Unified,https://www.schooldigger.com/go/CA/district/33840/search.aspx,5022 58th St.,Sacramento,https://www.schooldigger.com/go/CA/city/Sacramento/search.aspx,95820,Sacramento County,(916) 277-6400,9,12,Yes,No,No,No,840,31.7,26.40,0.58,0.05,0.00,0.33,0.34,0.01,0.09,0.20,97.5
48,Mt. Everest Academy,https://www.schooldigger.com/go/CA/schools/3432009437/school.aspx,San Diego Unified,https://www.schooldigger.com/go/CA/district/34320/search.aspx,4350 Mt. Everest Blvd.,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92117,San Diego County,(858) 496-8778,KG,12,No,No,No,Yes,266,13,20.40,0.17,0.01,0.00,0.12,0.12,0.01,0.17,0.57,97.4
49,San Marino High,https://www.schooldigger.com/go/CA/schools/3486005886/school.aspx,San Marino Unified,https://www.schooldigger.com/go/CA/district/34860/search.aspx,2701 Hntngtn Dr.,San Marino,https://www.schooldigger.com/go/CA/city/San+Marino/search.aspx,91108,Los Angeles County,(626) 299-7020,9,12,Yes,No,No,No,1101,55.3,19.90,0.09,0.01,0.00,0.60,0.07,0.00,0.08,0.24,97.4
50,Stockton Early College Academy,https://www.schooldigger.com/go/CA/schools/3801012446/school.aspx,Stockton Unified,https://www.schooldigger.com/go/CA/district/38010/search.aspx,349 E. Vine St.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95202,San Joaquin County,(209) 933-7370,9,12,Yes,Yes,No,No,432,10.6,40.60,0.51,0.03,0.01,0.44,0.45,0.01,0.01,0.06,97.3
51,Del Norte High,https://www.schooldigger.com/go/CA/schools/3153012216/school.aspx,Poway Unified,https://www.schooldigger.com/go/CA/district/31530/search.aspx,16601 Nighthawk Ln.,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92127,San Diego County,(858) 487-0877,9,12,No,No,No,No,2351,87.8,26.70,0.12,0.02,0.00,0.40,0.09,0.00,0.06,0.44,97.3
52,Amador Valley High,https://www.schooldigger.com/go/CA/schools/0002009282/school.aspx,Pleasanton Unified,https://www.schooldigger.com/go/CA/district/00020/search.aspx,1155 Santa Rita Rd.,Pleasanton,https://www.schooldigger.com/go/CA/city/Pleasanton/search.aspx,94566,Alameda County,(925) 461-6100,9,12,No,No,No,No,2713,111.8,24.20,0.07,0.01,0.00,0.42,0.08,0.00,0.04,0.45,97.3
53,Los Altos High,https://www.schooldigger.com/go/CA/schools/2631003929/school.aspx,Mountain View-Los Altos Union High,https://www.schooldigger.com/go/CA/district/26310/search.aspx,201 Almond Ave.,Los Altos,https://www.schooldigger.com/go/CA/city/Los+Altos/search.aspx,94022,Santa Clara County,(650) 940-8812,9,12,No,No,No,No,2227,112.9,19.70,0.17,0.01,0.00,0.26,0.27,0.00,0.08,0.38,97.1
54,Fountain Valley High,https://www.schooldigger.com/go/CA/schools/1806002228/school.aspx,Huntington Beach Union High,https://www.schooldigger.com/go/CA/district/18060/search.aspx,17816 Bushard,Fountain Valley,https://www.schooldigger.com/go/CA/city/Fountain+Valley/search.aspx,92708,Orange County,(714) 962-3301,9,12,No,No,No,No,3531,130.7,27.00,0.32,0.01,0.00,0.55,0.14,0.01,0.03,0.26,97
55,University Preparatory,https://www.schooldigger.com/go/CA/schools/3697211114/school.aspx,Victor Valley Union High,https://www.schooldigger.com/go/CA/district/36972/search.aspx,13853 Seneca Rd.,Victorville,https://www.schooldigger.com/go/CA/city/Victorville/search.aspx,92392,San Bernardino County,(760) 243-5940,7,12,Yes,No,No,No,1086,39.1,27.70,0.76,0.06,0.00,0.12,0.67,0.01,0.02,0.12,97
56,Carlmont High,https://www.schooldigger.com/go/CA/schools/3639006194/school.aspx,Sequoia Union High,https://www.schooldigger.com/go/CA/district/36390/search.aspx,1400 Alameda de Las Pulgas,Belmont,https://www.schooldigger.com/go/CA/city/Belmont/search.aspx,94002,San Mateo County,(650) 595-0210,9,12,No,No,Yes,No,2216,104.7,21.10,0.12,0.01,0.00,0.24,0.14,0.01,0.07,0.53,96.9
57,Early College High,https://www.schooldigger.com/go/CA/schools/2724011702/school.aspx,Newport-Mesa Unified,https://www.schooldigger.com/go/CA/district/27240/search.aspx,2990 Mesa Verde Dr.,Costa Mesa,https://www.schooldigger.com/go/CA/city/Costa+Mesa/search.aspx,92626,Orange County,(714) 424-7990,9,12,Yes,No,No,No,184,9,20.30,0.62,0.01,0.01,0.08,0.62,0.02,0.01,0.27,96.9
58,Cupertino High,https://www.schooldigger.com/go/CA/schools/1443001695/school.aspx,Fremont Union High,https://www.schooldigger.com/go/CA/district/14430/search.aspx,10100 Finch Ave.,Cupertino,https://www.schooldigger.com/go/CA/city/Cupertino/search.aspx,95014,Santa Clara County,(408) 366-7300,9,12,(n/a),No,No,No,2305,97,23.70,0.09,0.01,0.00,0.72,0.09,0.00,0.06,0.13,96.9
59,Summit Public School: Shasta,https://www.schooldigger.com/go/CA/schools/0164813354/school.aspx,Summit Public School: Shasta District,https://www.schooldigger.com/go/CA/district/01648/search.aspx,905 Campus Dr.,Daly City,https://www.schooldigger.com/go/CA/city/Daly+City/search.aspx,94015,San Mateo County,(650) 556-1110,9,12,Yes,Yes,No,No,491,24.2,20.20,0.18,0.02,0.00,0.34,0.24,0.02,0.20,0.18,96.8
60,Coronado High,https://www.schooldigger.com/go/CA/schools/0987001071/school.aspx,Coronado Unified,https://www.schooldigger.com/go/CA/district/09870/search.aspx,650 D Ave.,Coronado,https://www.schooldigger.com/go/CA/city/Coronado/search.aspx,92118,San Diego County,(619) 522-8907,9,12,No,No,No,No,1162,56,20.70,0.08,0.01,0.01,0.04,0.21,0.00,0.13,0.59,96.8
61,Mountain View High,https://www.schooldigger.com/go/CA/schools/2631003930/school.aspx,Mountain View-Los Altos Union High,https://www.schooldigger.com/go/CA/district/26310/search.aspx,3535 Truman Ave.,Mountain View,https://www.schooldigger.com/go/CA/city/Mountain+View/search.aspx,94040,Santa Clara County,(650) 940-4602,9,12,No,No,No,No,2062,108.1,19.00,0.15,0.02,0.00,0.24,0.23,0.00,0.11,0.40,96.8
62,Grove,https://www.schooldigger.com/go/CA/schools/0220108292/school.aspx,Grove District,https://www.schooldigger.com/go/CA/district/02201/search.aspx,200 Nevada St.,Redlands,https://www.schooldigger.com/go/CA/city/Redlands/search.aspx,92373,San Bernardino County,(909) 798-7831,7,12,(n/a),Yes,No,No,228,16.4,13.90,0.18,0.02,0.00,0.12,0.25,0.00,0.05,0.56,96.8
63,Tesoro High,https://www.schooldigger.com/go/CA/schools/0744008750/school.aspx,Capistrano Unified,https://www.schooldigger.com/go/CA/district/07440/search.aspx,1 Tesoro Creek Rd.,Rancho Santa Margarita,https://www.schooldigger.com/go/CA/city/Rancho+Santa+Margarita/search.aspx,92688,Orange County,(949) 234-5310,9,12,No,No,No,No,2514,97.9,25.60,0.08,0.01,0.00,0.13,0.14,0.00,0.06,0.65,96.7
64,Preuss School UCSD,https://www.schooldigger.com/go/CA/schools/0214808303/school.aspx,Preuss School UCSD District,https://www.schooldigger.com/go/CA/district/02148/search.aspx,9500 Gilman Dr.,La Jolla,https://www.schooldigger.com/go/CA/city/La+Jolla/search.aspx,92093,San Diego County,(858) 822-3000,6,12,Yes,Yes,No,No,836,40.7,20.50,0.95,0.13,0.00,0.18,0.65,0.00,0.04,0.01,96.7
65,Harmony Magnet Academy,https://www.schooldigger.com/go/CA/schools/0006412356/school.aspx,Porterville Unified,https://www.schooldigger.com/go/CA/district/00064/search.aspx,19429 Rd. 228,Strathmore,https://www.schooldigger.com/go/CA/city/Strathmore/search.aspx,93267,Tulare County,(559) 568-0347,9,12,Yes,Yes,Yes,No,510,20.5,24.80,0.64,0.00,0.01,0.05,0.70,0.00,0.02,0.22,96.7
