School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Carnegie Vanguard High School,https://www.schooldigger.com/go/TX/schools/2364009273/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77019,Harris,(713) 732-3694,9,12,No,No,Yes,Yes,613,33,18.5,0.25,0.11,0,0.19,0.28,0,0.03,0.39,96.3
School Of Health Professions,https://www.schooldigger.com/go/TX/schools/1623001273/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(972) 925-5930,9,12,Yes,No,Yes,Yes,551,36,15.3,0.79,0.25,0.01,0.03,0.67,0.01,0,0.03,96.3
Texas Academy Of Biomedical,https://www.schooldigger.com/go/TX/schools/1970012338/school.aspx,Fort Worth Independent School District,https://www.schooldigger.com/go/TX/district/19700/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76107,Tarrant,(817) 815-1300,9,12,Yes,No,No,No,360,22,16.3,0.48,0.17,0,0.05,0.55,0,0.02,0.21,95.7
Kerr High School,https://www.schooldigger.com/go/TX/schools/0783005742/school.aspx,Alief Independent School District,https://www.schooldigger.com/go/TX/district/07830/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77083,Harris,(281) 983-8484,9,12,Yes,No,No,Yes,786,39,20.1,0.6,0.11,0,0.62,0.22,0,0,0.05,95.7
Ischool High Of Flower Mound,https://www.schooldigger.com/go/TX/schools/0016312672/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75028,Denton,(972) 316-3663,9,12,No,Yes,No,Yes,159,10,15.9,0.04,0.03,0.01,0.01,0.17,0.01,0.04,0.74,95.7
Barack Obama Male Leadership Academy At Bf Darrell High School,https://www.schooldigger.com/go/TX/schools/1623012569/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75216,Dallas,(972) 749-2100,9,12,Yes,No,No,Yes,128,11,11.6,0.77,0.51,0.01,0,0.46,0,0,0.02,95.6
Young Women's Leadership Academy,https://www.schooldigger.com/go/TX/schools/3873011806/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78201,Bexar,(210) 438-6525,6,12,Yes,Yes,No,Yes,415,20,20.7,0.6,0.04,0.01,0.01,0.91,0,0,0.04,95.4
Alief Early College High School,https://www.schooldigger.com/go/TX/schools/0783012389/school.aspx,Alief Independent School District,https://www.schooldigger.com/go/TX/district/07830/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77082,Harris,(281) 988-3010,9,12,Yes,No,No,No,435,22,19.7,0.8,0.23,0.01,0.17,0.55,0,0,0.04,95
Carroll Senior High School,https://www.schooldigger.com/go/TX/schools/1302000791/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-5800,11,12,No,No,No,Yes,1284,76,16.8,0.01,0.03,0,0.09,0.08,0,0.03,0.76,94.5
Perfor & Vis Arts High School,https://www.schooldigger.com/go/TX/schools/2364002552/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77006,Harris,(713) 942-1960,9,12,No,No,Yes,Yes,724,43,16.8,0.18,0.17,0,0.09,0.24,0,0.02,0.47,94.5
Westlake High School,https://www.schooldigger.com/go/TX/schools/1776001549/school.aspx,Eanes Independent School District,https://www.schooldigger.com/go/TX/district/17760/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78746,Travis,(512) 732-9280,9,12,Yes,No,No,Yes,2541,178,14.2,0.03,0.01,0,0.1,0.14,0,0.04,0.69,94.3
Booker T Washington Spva Magnet,https://www.schooldigger.com/go/TX/schools/1623001242/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75224,Dallas,(972) 925-1200,9,12,No,No,Yes,No,896,56,16,0.25,0.21,0.01,0.02,0.25,0,0.03,0.49,94.3
East Early College High School,https://www.schooldigger.com/go/TX/schools/2364011262/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77003,Harris,(713) 847-4809,9,12,Yes,Yes,Yes,Yes,455,19,23.9,0.87,0.02,0,0.04,0.93,0,0,0.01,94.3
Lovejoy High School,https://www.schooldigger.com/go/TX/schools/2838010525/school.aspx,Lovejoy Independent School District,https://www.schooldigger.com/go/TX/district/28380/search.aspx,Lucas,https://www.schooldigger.com/go/TX/city/Lucas/search.aspx,75002,Collin,(469) 742-8700,9,12,No,No,No,No,1259,91,13.8,0.02,0.02,0,0.04,0.08,0,0.04,0.82,94.2
Flower Mound High School,https://www.schooldigger.com/go/TX/schools/2730008196/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75022,Denton,(469) 713-5192,9,12,No,No,No,Yes,2550,157,16.2,0.03,0.03,0.01,0.11,0.1,0,0.02,0.74,94.1
Eastwood Academy,https://www.schooldigger.com/go/TX/schools/2364007928/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77023,Harris,(713) 924-1697,9,12,Yes,Yes,No,Yes,424,22,19.2,0.82,0.01,0,0.01,0.94,0,0,0.02,93.9
Brownsville Early College High School,https://www.schooldigger.com/go/TX/schools/1168012172/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78520,Cameron,(956) 698-1476,9,12,Yes,No,No,No,374,17,22,0.86,0,0,0,0.99,0,0,0.01,93.8
Cedar Hill Collegiate High School,https://www.schooldigger.com/go/TX/schools/1323012181/school.aspx,Cedar Hill Independent School District,https://www.schooldigger.com/go/TX/district/13230/search.aspx,Cedar Hill,https://www.schooldigger.com/go/TX/city/Cedar+Hill/search.aspx,75104,Dallas,(469) 272-2021,9,12,Yes,Yes,No,Yes,379,11,34.4,0.47,0.68,0,0.03,0.22,0,0.03,0.05,93.7
Rosie Sorrells Education And Social Services High School,https://www.schooldigger.com/go/TX/schools/1623005441/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(972) 925-5940,9,12,Yes,No,Yes,Yes,315,23,13.6,0.74,0.35,0.01,0.01,0.61,0,0,0.03,93.7
Talkington School For Young Women Leaders,https://www.schooldigger.com/go/TX/schools/2850011896/school.aspx,Lubbock Independent School District,https://www.schooldigger.com/go/TX/district/28500/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79403,Lubbock,(806) 219-2200,6,12,Yes,No,Yes,Yes,415,28,14.8,0.51,0.16,0,0.01,0.42,0,0.03,0.38,93.6
Grand Prairie Fine Arts Academy,https://www.schooldigger.com/go/TX/schools/2142012982/school.aspx,Grand Prairie Independent School District,https://www.schooldigger.com/go/TX/district/21420/search.aspx,Grand Prairie,https://www.schooldigger.com/go/TX/city/Grand+Prairie/search.aspx,75050,Dallas,(972) 237-5603,6,12,Yes,No,No,No,529,41,12.9,0.43,0.19,0,0.03,0.47,0,0.03,0.27,93.6
Judge Barefoot Sanders Law Magnet,https://www.schooldigger.com/go/TX/schools/1623005444/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(972) 925-5920,9,12,Yes,No,Yes,Yes,393,25,15.7,0.79,0.22,0.01,0.01,0.72,0,0.01,0.05,93.5
Mission Early College High School,https://www.schooldigger.com/go/TX/schools/4071011217/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79927,El Paso,(915) 937-1200,9,12,Yes,No,No,Yes,476,23,20.6,0.72,0.01,0,0.02,0.94,0,0.01,0.03,93.5
Ischool High At University Park,https://www.schooldigger.com/go/TX/schools/0016312903/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77070,Harris,(972) 316-3663,9,12,No,Yes,No,No,272,10,27.2,0.15,0.13,0,0.05,0.4,0,0.03,0.39,93.5
Wakeland High School,https://www.schooldigger.com/go/TX/schools/2001010494/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton,(469) 633-5700,9,12,No,No,No,No,2220,141,15.7,0.07,0.07,0.01,0.06,0.13,0,0.03,0.71,93.3
Chaparral Star Academy,https://www.schooldigger.com/go/TX/schools/0006408059/school.aspx,Chaparral Star Academy,https://www.schooldigger.com/go/TX/district/00064/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78728,Travis,(512) 989-2672,KG,12,No,Yes,No,Yes,362,22,16.4,0,0.05,0.01,0.11,0.24,0,0.02,0.58,93.2
Early College H S At Midland College,https://www.schooldigger.com/go/TX/schools/3057012458/school.aspx,Midland Independent School District,https://www.schooldigger.com/go/TX/district/30570/search.aspx,Midland,https://www.schooldigger.com/go/TX/city/Midland/search.aspx,79705,Midland,(432) 685-4641,9,12,Yes,No,No,No,283,16,17.6,0.36,0.03,0,0.03,0.74,0,0.03,0.17,93.2
Early College High School,https://www.schooldigger.com/go/TX/schools/2679011365/school.aspx,Laredo Independent School District,https://www.schooldigger.com/go/TX/district/26790/search.aspx,Laredo,https://www.schooldigger.com/go/TX/city/Laredo/search.aspx,78041,Webb,(956) 273-7700,9,12,Yes,Yes,No,Yes,422,17,24.8,0.92,0,0,0.03,0.96,0,0,0.01,93.2
Highland Park High School,https://www.schooldigger.com/go/TX/schools/2325002357/school.aspx,Highland Park Independent School District,https://www.schooldigger.com/go/TX/district/23250/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75205,Dallas,(214) 780-3700,9,12,No,No,No,Yes,2140,152,14,0,0,0,0.04,0.05,0,0.01,0.89,93.2
Silva Health Magnet,https://www.schooldigger.com/go/TX/schools/1830003791/school.aspx,El Paso Independent School District,https://www.schooldigger.com/go/TX/district/18300/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79905,El Paso,(915) 533-9654,9,12,Yes,No,No,No,573,40,14.3,0.45,0.02,0,0.04,0.86,0,0.01,0.07,93
Uplift Education-North Hills Prep High School,https://www.schooldigger.com/go/TX/schools/0003012221/school.aspx,Uplift Education - North Hills Preparatory,https://www.schooldigger.com/go/TX/district/00030/search.aspx,Irving,https://www.schooldigger.com/go/TX/city/Irving/search.aspx,75039,Dallas,(972) 501-0645,9,12,No,Yes,No,No,527,36,14.6,0.15,0.07,0,0.51,0.22,0,0.02,0.18,93
Quest Early College High School,https://www.schooldigger.com/go/TX/schools/2391007028/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77044,Harris,(281) 641-7300,9,12,No,No,No,Yes,379,20,18.9,0.28,0.17,0.01,0.08,0.38,0,0.02,0.34,93
Seven Lakes High School,https://www.schooldigger.com/go/TX/schools/2517010760/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 237-2800,9,12,No,No,No,No,3463,187,18.5,0.06,0.07,0,0.23,0.22,0,0.03,0.46,92.9
Comstock School,https://www.schooldigger.com/go/TX/schools/1492000991/school.aspx,Comstock Independent School District,https://www.schooldigger.com/go/TX/district/14920/search.aspx,Comstock,https://www.schooldigger.com/go/TX/city/Comstock/search.aspx,78837,Val Verde,(432) 292-4444,KG,12,Yes,No,No,Yes,206,20,10.3,0.26,0,0.01,0.01,0.44,0,0.01,0.54,92.6
North Houston Early College High School,https://www.schooldigger.com/go/TX/schools/2364012246/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77022,Harris,(713) 696-6168,9,12,Yes,Yes,Yes,Yes,428,18,23.7,0.91,0.07,0,0.01,0.92,0,0,0,92.5
Victory Early College High School,https://www.schooldigger.com/go/TX/schools/0771011879/school.aspx,Aldine Independent School District,https://www.schooldigger.com/go/TX/district/07710/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77088,Harris,(281) 878-7885,9,12,Yes,No,No,Yes,470,20,23.5,0.75,0.13,0,0.04,0.8,0,0.01,0.02,92.1
Cypress Ranch High School,https://www.schooldigger.com/go/TX/schools/1611011253/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77433,Harris,(281) 373-2300,9,12,No,No,No,Yes,3456,194,17.8,0.12,0.1,0,0.1,0.23,0,0.03,0.54,92
Clear Horizons Early College High School,https://www.schooldigger.com/go/TX/schools/1428011416/school.aspx,Clear Creek Independent School District,https://www.schooldigger.com/go/TX/district/14280/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77089,Harris,(281) 929-4657,9,12,No,Yes,No,Yes,436,15,29,0.3,0.09,0,0.26,0.28,0,0.03,0.34,92
The Science Academy Of South Texas,https://www.schooldigger.com/go/TX/schools/3715000429/school.aspx,South Texas Independent School District,https://www.schooldigger.com/go/TX/district/37150/search.aspx,Mercedes,https://www.schooldigger.com/go/TX/city/Mercedes/search.aspx,78570,Hidalgo,(956) 565-4620,9,12,Yes,No,No,No,785,55,14.2,0.44,0.01,0,0.14,0.76,0,0.02,0.07,91.9
Challenge Early College High School,https://www.schooldigger.com/go/TX/schools/2364009609/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77081,Harris,(713) 664-9712,9,12,Yes,Yes,Yes,Yes,478,19,25.1,0.71,0.13,0,0.02,0.75,0,0.01,0.1,91.9
Centennial High School,https://www.schooldigger.com/go/TX/schools/2001009160/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-5600,9,12,No,No,No,No,2065,139,14.8,0.1,0.09,0.01,0.11,0.15,0,0.03,0.61,91.5
Impact Early College High School,https://www.schooldigger.com/go/TX/schools/2115012492/school.aspx,Goose Creek Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/21150/search.aspx,Baytown,https://www.schooldigger.com/go/TX/city/Baytown/search.aspx,77520,Harris,(281) 420-4802,9,12,Yes,No,No,Yes,349,19,18.3,0.64,0.13,0,0.03,0.73,0,0.01,0.11,91.4
Clements High School,https://www.schooldigger.com/go/TX/schools/1965005870/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-2150,9,12,No,No,No,No,2439,128,19,0.07,0.07,0,0.49,0.12,0,0.03,0.3,91.2
Travis Early College High School,https://www.schooldigger.com/go/TX/schools/3873011436/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78212,Bexar,(210) 733-1911,9,12,Yes,Yes,No,Yes,402,19,21.1,0.69,0.02,0,0,0.92,0,0,0.06,91.2
Klondike Independent School District,https://www.schooldigger.com/go/TX/schools/2579002909/school.aspx,Klondike Independent School District,https://www.schooldigger.com/go/TX/district/25790/search.aspx,Lamesa,https://www.schooldigger.com/go/TX/city/Lamesa/search.aspx,79331,Dawson,(806) 462-7332,PK,12,Yes,No,No,No,258,23,11.2,0.35,0,0,0.01,0.35,0,0.01,0.62,91
Borden County School,https://www.schooldigger.com/go/TX/schools/1086000552/school.aspx,Borden County Independent School District,https://www.schooldigger.com/go/TX/district/10860/search.aspx,Gail,https://www.schooldigger.com/go/TX/city/Gail/search.aspx,79738,Borden,(806) 756-4313,KG,12,Yes,No,No,Yes,249,19,13.1,0.24,0.01,0.02,0,0.17,0,0.04,0.77,91
Early College Academy At Southridge,https://www.schooldigger.com/go/TX/schools/4122012719/school.aspx,Spring Independent School District,https://www.schooldigger.com/go/TX/district/41220/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77090,Harris,(281) 891-6223,9,12,Yes,No,No,No,380,23,16.5,0.62,0.3,0,0.07,0.5,0,0.01,0.13,90.9
Westwood High School,https://www.schooldigger.com/go/TX/schools/3808005805/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78750,Williamson,(512) 464-4000,9,12,No,No,No,No,2731,168,16.2,0.12,0.03,0.01,0.29,0.16,0,0.04,0.47,90.9
Liberty High School,https://www.schooldigger.com/go/TX/schools/2001011166/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-5800,9,12,No,No,No,No,2039,138,14.7,0.08,0.11,0.01,0.26,0.1,0,0.02,0.5,90.6
Johnson High School,https://www.schooldigger.com/go/TX/schools/3294011973/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78259,Bexar,(210) 356-0400,9,12,No,No,No,No,2945,151,19.5,0.13,0.05,0,0.07,0.4,0,0.03,0.45,90.6
Sharpstown International School,https://www.schooldigger.com/go/TX/schools/2364002584/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77036,Harris,(713) 778-3440,6,12,Yes,No,Yes,Yes,1033,66,15.6,0.95,0.08,0,0.06,0.82,0,0,0.03,90.6
The Woodlands High School,https://www.schooldigger.com/go/TX/schools/1500001007/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77381,Montgomery,(936) 709-1200,9,12,No,No,No,No,4142,228,18.1,0.03,0.02,0,0.06,0.22,0,0.02,0.68,90.4
Cinco Ranch High School,https://www.schooldigger.com/go/TX/schools/2517008271/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 237-7000,6,12,No,No,No,No,3171,174,18.2,0.1,0.08,0,0.15,0.22,0,0.03,0.51,90.3
Northwest Early College H S (Nwechs),https://www.schooldigger.com/go/TX/schools/1278011864/school.aspx,Canutillo Independent School District,https://www.schooldigger.com/go/TX/district/12780/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79932,El Paso,(915) 877-1700,9,12,Yes,Yes,No,Yes,282,18,15.6,0.55,0.03,0,0.01,0.87,0,0.01,0.08,90.2
Westlake Academy,https://www.schooldigger.com/go/TX/schools/0025409511/school.aspx,Westlake Academy Charter School,https://www.schooldigger.com/go/TX/district/00254/search.aspx,Westlake,https://www.schooldigger.com/go/TX/city/Westlake/search.aspx,76262,Tarrant,(817) 490-5757,KG,12,No,Yes,No,Yes,815,60,13.5,0,0.05,0,0.11,0.11,0,0.05,0.67,90.2
Port Aransas High School,https://www.schooldigger.com/go/TX/schools/3537003996/school.aspx,Port Aransas Independent School District,https://www.schooldigger.com/go/TX/district/35370/search.aspx,Port Aransas,https://www.schooldigger.com/go/TX/city/Port+Aransas/search.aspx,78373,Nueces,(361) 749-1206,9,12,Yes,No,No,Yes,161,17,9.4,0.29,0.01,0.01,0.03,0.18,0,0.05,0.73,90.1
Waxahachie Global High School,https://www.schooldigger.com/go/TX/schools/4473011211/school.aspx,Waxahachie Independent School District,https://www.schooldigger.com/go/TX/district/44730/search.aspx,Waxahachie,https://www.schooldigger.com/go/TX/city/Waxahachie/search.aspx,75165,Ellis,(972) 923-4761,9,12,No,No,No,No,418,22,19,0.23,0.05,0.01,0.02,0.21,0.01,0.04,0.67,89.8
Memorial Early College H S With St Philip's,https://www.schooldigger.com/go/TX/schools/1473012564/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,New Braunfels,https://www.schooldigger.com/go/TX/city/New+Braunfels/search.aspx,78130,Comal,(830) 221-2900,9,12,Yes,No,No,No,216,15,14.4,0.3,0.02,0.01,0.01,0.39,0.01,0.06,0.52,89.8
Kingwood High School,https://www.schooldigger.com/go/TX/schools/2391005502/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,Kingwood,https://www.schooldigger.com/go/TX/city/Kingwood/search.aspx,77339,Harris,(281) 641-6900,9,12,No,No,No,No,2610,140,18.6,0.05,0.03,0,0.05,0.14,0,0.02,0.76,89.7
Fort Worth Academy Of Fine Arts,https://www.schooldigger.com/go/TX/schools/0023109030/school.aspx,Fort Worth Academy Of Fine Arts,https://www.schooldigger.com/go/TX/district/00231/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76109,Tarrant,(817) 924-1482,7,12,Yes,Yes,No,No,349,30,11.6,0.16,0.11,0,0.02,0.19,0,0.03,0.64,89.7
Sundown High School,https://www.schooldigger.com/go/TX/schools/4185004773/school.aspx,Sundown Independent School District,https://www.schooldigger.com/go/TX/district/41850/search.aspx,Sundown,https://www.schooldigger.com/go/TX/city/Sundown/search.aspx,79372,Hockley,(806) 229-2511,9,12,No,No,No,No,159,24,6.6,0.21,0.01,0.03,0,0.45,0,0.02,0.5,89.5
Transmountain Early College High School,https://www.schooldigger.com/go/TX/schools/1830012055/school.aspx,El Paso Independent School District,https://www.schooldigger.com/go/TX/district/18300/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79925,El Paso,(915) 887-6805,9,12,Yes,No,No,Yes,431,23,18.7,0.58,0.03,0,0.02,0.82,0,0.01,0.12,89.3
